Chord,E,A,D,G,B,E2,Structure,Note1,Note2,Note3,Note4,Note5,Note6
Amaj7;2,x,0,4,3,2,1,1;3;5;7,x,A,A,C#,E,G#
Amaj7;3,x,4,3,1,1,1,1;3;5;7,x,A,C#,E,G#,C#
Amaj7;4,1,x,3,4,2,x,1;3;5;7,A,x,G#,C#,E,x
Amaj7;5,x,3,4,1,2,0,1;3;5;7,x,G#,C#,E,A,E
Amaj7;6,x,x,x,1,1,3,1;3;5;7,x,x,x,A,C#,G#
Amaj9;1,x,0,2,1,0,0,1;3;5;7;9,x,A,E,G#,B,E
Amaj9;2,2,1,4,1,3,x,1;3;5;7;9,A,C#,G#,B,E,x
Amaj9;3,x,2,1,4,3,0,1;3;5;7;9,x,A,C#,G#,B,E
Amaj9;4,x,0,1,3,1,4,1;3;5;7;9,x,A,E,B,C#,G#
Amaj;18,0,0,1,2,3,0,1;3;5,A,E,A,C#,E,x
Asus2;1,x,0,2,3,0,0,1;2;5,x,A,E,A,B,E
Asus2;2,0,0,1,4,0,0,1;2;5,E,A,E,B,B,E
Asus2;3,x,0,1,3,4,1,1;2;5,x,A,A,E,A,B
Asus2;4,x,0,2,3,0,x,1;2;5,x,A,E,A,B,x
Asus4;1,x,0,1,1,2,0,1;4;5,x,A,E,A,D,E
Asus4;2,x,0,3,4,1,1,1;4;5,x,A,A,D,E,A
Asus4;3,x,0,1,2,3,4,1;4;5,x,A,A,E,A,D
Asus4;4,x,0,1,1,2,x,1;4;5,x,A,E,A,D,x
A#5;1,1,3,x,x,x,x,1;5,A#,F,x,x,x,x
A#6;1,x,1,3,3,3,3,1;3;5;6,x,A#,F,A#,D,G
A#6;2,1,x,3,2,4,1,1;3;5;6,A#,x,A#,D,G,A#
A#6;3,x,x,1,3,1,4,1;3;5;6,x,x,A#,F,G,D
A#7;1,x,1,3,1,4,1,1;3;5;b7,x,A#,F,G#,D,F
A#7;2,1,3,1,2,4,1,1;3;5;b7,A#,F,G#,D,G#,A#
A#7;3,x,x,1,3,2,4,1;3;5;b7,x,x,A#,F,G#,D
A#9;1,x,2,0,3,4,x,1;3;5;b7;9,x,A#,D,G#,C,x
A#9;2,x,1,3,2,4,x,1;3;5;b7;9,x,D,G#,C,F,x
A#9;3,1,x,1,2,1,4,1;3;5;b7;9,A#,x,G#,D,F,C
A#11;1,x,1,1,1,1,1,1;3;5;b7;9;11,x,A#,D#,G#,C,F
A#11;2,3,x,4,2,1,1,1;3;5;b7;9;11,A#,x,G#,C,D#,G#
A#11;3,x,x,1,1,2,1,1;3;5;b7;9;11,x,x,A#,D#,G#,C
A#13;1,x,1,0,2,3,4,1;3;5;b7;9;11;13,x,A#,D,G#,C,G
A#13;2,4,x,3,2,1,1,1;3;5;b7;9;11;13,A#,x,G#,C,D,G
A#13;3,1,x,1,2,3,4,1;3;5;b7;9;11;13,A#,x,G#,D,G,C
A#43991;1,x,1,0,0,2,3,1;3;5;6;9,x,A#,D,G,C,F
A#43991;2,2,1,1,1,3,4,1;3;5;6;9,A#,D,G,C,F,A#
A#43991;3,x,x,2,1,3,4,1;3;5;6;9,x,x,A#,D,G,C
A#7(#5);1,x,1,4,1,3,2,1;3;#5;b7,x,A#,F#,G#,D,F#
A#7(#5);2,1,x,1,2,3,1,1;3;#5;b7,A#,x,G#,D,F#,A#
A#7(#5);3,x,1,2,1,1,x,1;3;#5;b7,x,G#,D,F#,A#,x
A#7(#9);1,x,1,0,2,4,3,1;3;5;b7;#9,x,A#,D,G#,C#,F
A#7(#9);2,2,1,3,3,3,x,1;3;5;b7;#9,A#,D,G#,C#,F,x
A#7(#9);3,1,3,1,2,1,4,1;3;5;b7;#9,A#,F,G#,D,F,C#
A#7(b9);1,x,1,0,2,x,3,1;3;5;b7;b9,x,A#,D,G#,x,F
A#7(b9);2,3,2,4,1,x,x,1;3;5;b7;b9,A#,D,G#,B,x,x
A#7(b9);3,1,x,1,2,1,3,1;3;5;b7;b9,A#,x,G#,D,F,B
A#7b5;1,x,1,2,1,3,x,1;3;b5;b7,x,A#,E,G#,D,x
A#7b5;2,x,x,2,4,1,3,1;3;b5;b7,x,x,G#,D,E,A#
A#7b5;3,x,x,1,2,3,4,1;3;b5;b7,x,x,A#,E,G#,D
A#7sus4;1,x,1,3,1,4,1,1;4;5;b7,x,A#,F,G#,D#,F
