Chord,E,A,D,G,B,E2,Structure,Note1,Note2,Note3,Note4,Note5,Note6
B6;5,x,x,1,1,1,1,1;3;5;6,x,x,F#,B,D#,G#
B7;1,x,2,1,3,0,4,1;3;5;b7,x,B,D#,A,B,F#
B7;2,x,1,3,1,4,1,1;3;5;b7,x,B,F#,A,D#,F#
B7;3,1,3,1,2,4,1,1;3;5;b7,B,F#,A,D#,A,B
B7;4,x,1,3,3,3,4,1;3;5;b7,x,B,F#,B,D#,A
B7;5,1,3,1,2,1,1,1;3;5;b7,B,F#,A,D#,F#,B
B7;6,x,2,1,2,x,x,1;3;5;b7,x,B,D#,A,x,x
B7;7,x,2,1,3,0,4,1;3;5;b7,x,B,D#,A,B,F#
B7;8,x,3,2,4,1,x,1;3;5;b7,x,B,D#,A,B,x
B7;9,x,x,1,1,1,3,1;3;5;b7,x,x,F#,B,D#,A
B7;10,1,x,2,4,3,x,1;3;5;b7,B,x,A,D#,F#,x
B7;11,x,0,1,2,1,1,1;3;5;b7,x,A,A,D#,F#,B
B7;12,x,2,1,3,0,x,1;3;5;b7,x,B,D#,A,B,x
B7;13,2,0,1,3,0,4,1;3;5;b7,F#,A,D#,A,B,F#
B7;14,2,x,1,3,x,x,1;3;5;b7,F#,x,D#,A,x,x
B7;15,x,2,1,3,x,4,1;3;5;b7,x,B,D#,A,x,F#
B7;16,2,x,1,3,0,4,1;3;5;b7,F#,x,D#,A,B,F#
B7;17,x,0,1,1,1,3,1;3;5;b7,x,A,F#,B,D#,A
B7;18,1,x,2,3,x,x,1;3;5;b7,B,x,A,D#,x,x
B9;1,x,2,1,3,4,x,1;3;5;b7;9,x,B,D#,A,C#,x
B9;2,x,1,3,2,4,x,1;3;5;b7;9,x,D#,A,C#,F#,x
B9;3,x,x,2,1,3,4,1;3;5;b7;9,x,x,A,C#,F#,B
B11;1,x,1,1,1,1,1,1;3;5;b7;9;11,x,B,E,A,C#,F#
B11;2,3,x,4,2,1,1,1;3;5;b7;9;11,B,x,A,C#,E,A
B11;3,x,x,1,1,2,1,1;3;5;b7;9;11,x,x,B,E,A,C#
B13;1,x,2,1,3,3,4,1;3;5;b7;9;11;13,x,B,D#,A,C#,G#
B13;2,4,x,3,2,1,1,1;3;5;b7;9;11;13,B,x,A,C#,D#,G#
B13;3,1,x,1,2,3,4,1;3;5;b7;9;11;13,B,x,A,D#,G#,C#
B13;4,1,3,1,2,4,1,1;3;5;b7;9;11;13,B,F#,A,D#,G#,B
B13;5,1,x,2,3,4,x,1;3;5;b7;9;11;13,B,x,A,D#,G#,x
B13;6,x,1,3,2,4,x,1;3;5;b7;9;11;13,x,D#,A,C#,F#,x
B13;7,x,x,1,2,3,1,1;3;5;b7;9;11;13,x,x,A,D#,G#,B
B13;8,1,4,1,2,1,1,1;3;5;b7;9;11;13,B,G#,A,D#,F#,B
B43991;1,x,2,1,1,3,4,1;3;5;6;9,x,B,D#,G#,C#,F#
B43991;2,2,1,1,1,3,4,1;3;5;6;9,B,D#,G#,C#,F#,B
B43991;3,x,x,2,1,3,4,1;3;5;6;9,x,x,B,D#,G#,C#
B13(#11);1,3,x,4,2,1,1,1;3;5;b7;9;#11;13,B,x,A,C#,D#,G#
B7(#11);1,2,x,3,4,1,x,1;3;5;b7;#11,B,x,A,D#,F,x
B7(#5);1,x,0,1,0,0,4,1;3;#5;b7,x,A,D#,G,B,G
B7(#5);2,x,1,4,1,3,2,1;3;#5;b7,x,B,G,A,D#,G
B7(#5);3,1,x,1,2,3,1,1;3;#5;b7,B,x,A,D#,G,B
B7(#9);1,x,2,1,3,4,x,1;3;5;b7;#9,x,B,D#,A,D,x
B7(#9);2,2,1,3,3,3,x,1;3;5;b7;#9,B,D#,A,D,F#,x
B7(#9);3,1,3,1,2,1,4,1;3;5;b7;#9,B,F#,A,D#,F#,D
B7(#9);4,x,1,x,2,3,x,1;3;5;b7;#9,x,B,x,A,D,x
B7(b9);1,x,2,1,3,1,x,1;3;5;b7;b9,x,B,D#,A,C,x
B7(b9);2,3,2,4,1,x,x,1;3;5;b7;b9,B,D#,A,C,x,x
B7(b9);3,1,x,1,2,1,3,1;3;5;b7;b9,B,x,A,D#,F#,B
B7(b9);4,x,2,1,3,1,4,1;3;5;b7;b9,x,B,D#,A,C,F#
B7(b9);5,1,x,2,3,x,4,1;3;5;b7;b9,B,x,A,D#,x,C
B7(b9);6,x,2,3,1,4,x,1;3;5;b7;b9,x,D#,A,C,F#,x
B7b5;1,x,1,2,1,3,x,1;3;b5;b7,x,B,F,A,D#,x
B7b5;2,x,x,2,4,1,3,1;3;b5;b7,x,x,A,D#,F,B
B7b5;3,x,x,1,2,3,4,1;3;b5;b7,x,x,B,F,A,D#
B7sus4;1,x,1,2,3,0,0,1;4;5;b7,x,B,E,A,B,E
B7sus4;2,x,1,3,1,4,1,1;4;5;b7,x,B,F#,A,E,F#
B7sus4;3,1,3,1,4,1,1,1;4;5;b7,B,F#,A,E,F#,B
B9b5;1,1,2,1,3,4,1,1;3;b5;b7;9,F,B,D#,A,C#,F
B9b5;2,2,1,3,1,1,4,1;3;b5;b7;9,B,D#,A,C#,F,B
B9b5;3,x,x,1,2,3,1,1;3;b5;b7;9,x,x,B,F,A,C#
Baug;1,x,3,2,0,0,x,1;3;#5,x,B,D#,G,B,x
Baug;2,4,3,2,0,x,x,1;3;#5,G,B,D#,G,x,x
Baug;3,x,x,4,2,3,1,1;3;#5,x,x,D#,G,B,D#
Bdim;1,x,1,2,4,3,x,1;b3;b5,x,B,F,B,D,x
Bdim;2,x,x,4,3,1,2,1;b3;b5,x,x,B,D,F,B
Bdim;3,x,x,1,2,4,3,1;b3;b5,x,x,B,F,B,D
Bdim;4,x,x,x,3,2,1,1;b3;b5,x,x,x,B,D,F
Bdim;5,x,4,2,1,x,x,1;b3;b5,x,B,D,F,x,x
Bdim7;1,2,4,1,3,x,x,1;b3;b5;bb7,G#,D,F,B,x,x
Bdim7;2,x,2,3,1,4,x,1;b3;b5;bb7,x,D,G#,B,F,x
Bdim7;3,x,x,1,3,2,4,1;b3;b5;bb7,x,x,B,F,G#,D
Bdim7;4,x,2,3,1,4,x,1;b3;b5;bb7,x,B,F,G#,D,x
Bdim7;5,x,x,1,2,1,3,1;b3;b5;bb7,x,x,G#,D,F,B
Bdim7;6,2,x,1,3,1,x,1;b3;b5;bb7,B,x,G#,D,F,x
Bdim7;7,x,x,0,3,0,4,1;b3;b5;bb7,x,x,D,G#,B,F
Bm;1,x,1,3,4,2,1,1;b3;5,x,B,F#,B,D,F#
Bm;2,1,3,4,1,1,1,1;b3;5,B,F#,B,D,F#,B
Bm;3,x,x,1,3,4,2,1;b3;5,x,x,B,F#,B,D
Bm;4,x,x,3,4,2,1,1;b3;5,x,x,F#,B,D,F#
Bm;5,x,1,3,4,2,x,1;b3;5,x,B,F#,B,D,x
Bm;6,x,x,3,2,4,1,1;b3;5,x,x,D,F#,B,D
Bm;7,x,1,3,4,2,1,1;b3;5,x,B,F#,B,D,F#
Bm;8,x,3,4,1,1,1,1;b3;5,x,F#,B,D,F#,B
Bm;9,x,x,3,1,1,1,1;b3;5,x,x,B,D,F#,B
Bm;10,x,x,x,3,2,1,1;b3;5,x,x,x,B,D,F#
Bm;11,2,x,0,3,x,x,1;b3;5,B,x,D,D,x,x
Bm;12,x,1,0,x,x,x,1;b3;5,x,B,D,x,x,x
Bm;13,1,x,3,1,1,x,1;b3;5,B,x,B,D,F#,x
Bm(maj7);1,x,1,3,4,2,x,1;b3;5;7,x,A#,F#,B,D,x
Bm11;1,2,x,3,4,1,x,1;b3;5;b7;9;11,B,x,A,D,E,x
Bm11;2,x,2,0,3,4,0,1;b3;5;b7;9;11,x,B,D,A,C#,E
Bm11;3,x,x,4,3,1,x,1;b3;5;b7;9;11,x,x,A,C#,D,x
Bm11;4,x,0,3,4,2,0,1;b3;5;b7;9;11,x,A,F#,B,D,E
Bm11;5,x,1,x,3,4,0,1;b3;5;b7;9;11,x,B,x,A,C#,E
Bm11;6,1,x,0,3,4,0,1;b3;5;b7;9;11,B,x,D,E,A,E
Bm11;7,2,x,3,4,0,0,1;b3;5;b7;9;11,B,x,A,D,B,E
Bm6;1,x,2,0,1,0,3,1;b3;5;6,x,B,D,G#,B,F#
Bm6;2,x,1,x,3,2,4,1;b3;5;6,x,B,x,B,D,G#
Bm6;3,1,x,3,1,4,1,1;b3;5;6,B,x,B,D,G#,B
Bm6;4,x,1,2,1,3,x,1;b3;5;6,x,G#,D,F#,B,x
Bm7;1,x,2,0,3,0,4,1;b3;5;b7,x,B,D,A,B,F#
Bm7;2,x,1,3,1,2,1,1;b3;5;b7,x,B,F#,A,D,F#
Bm7;3,1,3,1,1,4,1,1;b3;5;b7,B,F#,A,D,A,B
Bm7;4,2,x,3,3,x,x,1;b3;5;b7,B,x,A,D,x,x
Bm7;5,1,3,1,1,1,1,1;b3;5;b7,B,F#,A,D,F#,B
Bm7;6,2,x,3,3,3,x,1;b3;5;b7,B,x,A,D,F#,x
Bm7;7,x,2,0,3,4,x,1;b3;5;b7,x,B,D,A,D,x
Bm7;8,x,2,x,3,4,x,1;b3;5;b7,x,B,x,A,D,x
Bm7;9,x,x,1,3,2,2,1;b3;5;b7,x,x,B,F#,A,D
Bm7;10,x,x,1,1,1,1,1;b3;5;b7,x,x,A,D,F#,B
Bm7;11,2,x,1,4,3,x,1;b3;5;b7,D,x,B,F#,A,x
Bm7;12,x,x,0,1,0,2,1;b3;5;b7,x,x,D,A,B,F#
Bm7;13,x,x,2,3,1,4,1;b3;5;b7,x,x,F#,B,D,A
Bm7;14,x,2,1,1,x,3,1;b3;5;b7,x,D,F#,B,x,A
Bm7;15,x,4,1,2,0,x,1;b3;5;b7,x,F#,A,D,B,x
Bm7;16,x,0,2,3,1,x,1;b3;5;b7,x,A,F#,B,D,x
Bm7b5;1,x,2,0,3,4,1,1;b3;b5;b7,x,B,D,A,D,F
Bm7b5;2,x,1,2,1,3,x,1;b3;b5;b7,x,B,F,A,D,x
Bm7b5;3,2,x,3,4,1,x,1;b3;b5;b7,B,x,A,D,F,x
Bm7b5;4,x,1,3,2,4,x,1;b3;b5;b7,x,B,F,A,D,x
Bm9;1,x,1,0,2,3,x,1;b3;5;b7;9,x,B,D,A,C#,x
Bm9;2,3,1,4,2,x,x,1;b3;5;b7;9,B,D,A,C#,x,x
Bm9;3,1,3,1,1,1,4,1;b3;5;b7;9,B,F#,A,D,F#,C#
Bmaj;1,1,3,4,2,1,1,1;3;5,B,F#,B,D#,F#,B
Bmaj;2,x,x,1,2,4,3,1;3;5,x,x,B,F#,B,D#
Bmaj13;1,x,1,1,1,2,1,1;3;5;7;9;11;13,x,D#,G#,C#,F#,A#
Bmaj13;2,1,1,3,2,1,4,1;3;5;7;9;11;13,F#,B,F#,A#,C#,G#
Bmaj7;1,x,1,3,2,4,1,1;3;5;7,x,B,F#,A#,D#,F#
Bmaj7;2,1,4,2,3,1,x,1;3;5;7,B,F#,A#,D#,F#,x
Bmaj7;3,x,x,4,3,2,1,1;3;5;7,x,x,B,D#,F#,A#
Bmaj7;4,x,1,3,2,4,x,1;3;5;7,x,B,F#,A#,D#,x
Bmaj7;5,1,x,3,4,2,x,1;3;5;7,B,x,A#,D#,F#,x
Bmaj9;1,x,2,1,4,3,x,1;3;5;7;9,x,B,D#,A#,C#,x
Bmaj9;2,2,1,4,1,x,x,1;3;5;7;9,B,D#,A#,C#,x,x
Bmaj9;3,x,x,4,1,2,1,1;3;5;7;9,x,x,B,C#,F#,A#
Bmaj;3,x,1,2,3,4,1,1;3;5,x,B,F#,B,D#,F
Bsus4;1,x,1,2,3,4,1,1;4;5,x,B,F#,B,E,F#
Bsus4;2,x,x,1,1,2,4,1;4;5,x,x,F#,B,E,B
Bsus4;3,1,1,3,4,1,1,1;4;5,B,E,B,E,F#,B
Bsus4;4,x,1,3,3,4,x,1;4;5,x,B,F#,B,E,x
Bsus4;5,x,1,3,4,0,0,1;4;5,x,B,F#,B,B,E
Bb5;1,x,1,3,x,x,x,1;5,x,A#,F,x,x,x
Bb5;2,1,3,x,x,x,x,1;5,A#,F,x,x,x,x
Bb5;3,1,3,4,x,x,x,1;5,A#,F,A#,x,x,x
Bb5;4,x,1,1,x,x,x,1;5,x,F,A#,x,x,x
Bb5;5,1,1,3,x,x,x,1;5,F,A#,F,x,x,x
Bb5;6,x,1,3,4,x,x,1;5,x,A#,F,A#,x,x
Bb5;7,1,1,x,x,x,x,1;5,F,A#,x,x,x,x
Bb5;8,x,x,x,1,4,x,1;5,x,x,x,A#,F,x
Bb5;9,x,x,1,1,x,x,1;5,x,x,F,A#,x,x
Bb5;10,x,x,1,3,4,x,1;5,x,x,A#,F,A#,x
Bb5;11,x,x,1,4,x,x,1;5,x,x,A#,F,x,x
Bb6;1,x,1,3,3,3,3,1;3;5;6,x,A#,F,A#,D,G
Bb6;2,1,x,3,2,4,1,1;3;5;6,A#,x,A#,D,G,A#
Bb6;3,x,x,1,3,1,4,1;3;5;6,x,x,A#,F,G,D
Bb6;4,3,1,2,0,x,x,1;3;5;6,A#,D,G,G,x,x
Bb6;5,x,1,x,0,3,4,1;3;5;6,x,A#,x,G,D,G
Bb6;6,x,1,x,0,4,x,1;3;5;6,x,A#,x,G,D,x
Bb6;7,2,x,1,4,3,x,1;3;5;6,A#,x,G,D,F,x
Bb6;8,x,x,3,3,3,3,1;3;5;6,x,x,F,A#,D,G
Bb6;9,x,1,3,0,4,x,1;3;5;6,x,A#,F,G,D,x
Bb6;10,2,1,0,0,3,4,1;3;5;6,A#,D,D,G,F,A#
Bb6;11,2,x,1,3,x,x,1;3;5;6,A#,x,G,D,x,x
Bb6;12,2,x,1,3,4,x,1;3;5;6,A#,x,G,D,G,x
Bb6;13,x,x,3,2,4,1,1;3;5;6,x,x,A#,D,G,A#
Bb6;14,1,x,x,0,2,x,1;3;5;6,A#,x,x,G,F,x
Bb6;15,x,2,3,1,4,x,1;3;5;6,x,A#,F,G,D,x
Bb6;16,x,x,1,1,1,1,1;3;5;6,x,x,F,A#,D,G
Bb6;17,x,1,3,1,2,1,1;3;5;6,x,G,D,F,A#,D
Bb6;18,x,x,1,4,2,3,1;3;5;6,x,x,G,D,F,A#
Bb6;19,x,1,x,x,3,4,1;3;5;6,x,A#,x,x,D,G
Bb6;20,x,1,3,0,x,x,1;3;5;6,x,A#,F,G,x,x
Bb6;21,1,x,0,0,4,x,1;3;5;6,A#,x,D,G,G,x
Bb6;22,x,1,0,0,4,x,1;3;5;6,x,A#,D,G,D,x
Bb7;1,x,1,3,1,4,1,1;3;5;b7,x,A#,F,G#,D,F
Bb7;2,1,3,1,2,4,1,1;3;5;b7,A#,F,G#,D,G#,A#
Bb7;3,x,x,1,3,2,4,1;3;5;b7,x,x,A#,F,G#,D
Bb7;4,1,3,1,2,1,1,1;3;5;b7,A#,F,G#,D,F,A#
Bb7;5,x,x,1,3,2,x,1;3;5;b7,x,x,G#,D,F,x
Bb7;6,x,x,1,1,1,3,1;3;5;b7,x,x,F,A#,D,G#
Bb7;7,1,x,2,3,x,x,1;3;5;b7,A#,x,G#,D,x,x
Bb7;8,x,2,0,3,x,x,1;3;5;b7,x,A#,D,G#,x,x
Bb7;9,x,x,x,3,2,1,1;3;5;b7,x,x,x,D,F,G#
Bb7;10,x,x,x,1,4,x,1;3;5;b7,x,x,x,D,G#,x
Bb7;11,x,x,x,2,1,3,1;3;5;b7,x,x,x,F,G#,D
Bb7;12,1,x,2,4,3,x,1;3;5;b7,A#,x,G#,D,F,x
Bb7;13,x,x,1,2,1,1,1;3;5;b7,x,x,G#,D,F,A#
Bb7;14,x,2,1,3,x,x,1;3;5;b7,x,A#,D,G#,x,x
Bb7;15,x,x,x,1,1,2,1;3;5;b7,x,x,x,A#,D,G#
Bb7;16,x,x,x,2,4,1,1;3;5;b7,x,x,x,D,G#,A#
Bb9;1,x,2,0,3,4,x,1;3;5;b7;9,x,A#,D,G#,C,x
Bb9;2,x,1,3,2,4,x,1;3;5;b7;9,x,D,G#,C,F,x
Bb9;3,1,x,1,2,1,4,1;3;5;b7;9,A#,x,G#,D,F,C
Bb9;4,x,2,1,3,3,3,1;3;5;b7;9,x,A#,D,G#,C,F
Bb9;5,x,x,1,2,1,4,1;3;5;b7;9,x,x,G#,D,F,C
Bb9;6,x,x,1,3,3,3,1;3;5;b7;9,x,x,D,G#,C,F
Bb9;7,x,1,3,2,4,4,1;3;5;b7;9,x,D,G#,C,F,A#
Bb9;8,x,x,3,2,1,4,1;3;5;b7;9,x,x,G#,C,D,A#
Bb9;9,x,2,1,3,4,x,1;3;5;b7;9,x,A#,D,G#,C,x
Bb9;10,2,1,3,1,x,x,1;3;5;b7;9,A#,D,G#,C,x,x
Bb9;11,x,1,3,2,x,x,1;3;5;b7;9,x,D,G#,C,x,x
Bb9;12,x,x,2,1,3,x,1;3;5;b7;9,x,x,G#,C,F,x
Bb9;13,x,x,0,1,1,1,1;3;5;b7;9,x,x,D,G#,C,F
Bb9;14,x,2,0,3,3,3,1;3;5;b7;9,x,A#,D,G#,C,F
Bb11;1,x,1,1,1,1,1,1;3;5;b7;9;11,x,A#,D,G#,C,F
Bb11;2,3,x,4,2,1,1,1;3;5;b7;9;11,A#,x,G#,C,D,G#
Bb11;3,x,x,1,1,2,1,1;3;5;b7;9;11,x,x,A#,D,G#,C
Bb13;1,x,1,0,2,3,4,1;3;5;b7;9;11;13,x,A#,D,G#,C,G
Bb13;2,4,x,3,2,1,1,1;3;5;b7;9;11;13,A#,x,G#,C,D,G
Bb13;3,1,x,1,2,3,4,1;3;5;b7;9;11;13,A#,x,G#,D,G,C
Bb13;4,1,x,2,3,4,x,1;3;5;b7;9;11;13,A#,x,G#,D,G,x
Bb13;5,x,1,2,1,4,4,1;3;5;b7;9;11;13,x,D,G#,C,G,C
Bb13;6,x,1,1,1,2,1,1;3;5;b7;9;11;13,x,G,C,F,A#,D
Bb13;7,x,x,1,2,3,1,1;3;5;b7;9;11;13,x,x,G#,D,G,A#
Bb13;8,1,x,1,2,3,1,1;3;5;b7;9;11;13,A#,x,G#,D,G,A#
Bb43991;1,x,1,0,0,2,3,1;3;5;6;9,x,A#,D,G,C,F
Bb43991;2,2,1,1,1,3,4,1;3;5;6;9,A#,D,G,C,F,A#
Bb43991;3,x,x,2,1,3,4,1;3;5;6;9,x,x,A#,D,G,C
Bb43991;4,2,x,1,1,3,x,1;3;5;6;9,A#,x,G,C,F,x
Bb13(b9);1,x,x,1,2,4,3,1;3;5;b7;b9;11;13,x,x,G#,D,G,B
Bb6(#11);1,x,1,3,0,4,0,1;3;5;6;#11,x,A#,F,G,D,E
Bb7(#5);1,x,1,4,1,3,2,1;3;#5;b7,x,A#,F#,G#,D,F#
Bb7(#5);2,1,x,1,2,3,1,1;3;#5;b7,A#,x,G#,D,F#,A#
Bb7(#5);3,x,1,2,1,1,x,1;3;#5;b7,x,G#,D,F#,A#,x
Bb7(#5);4,x,x,1,2,3,1,1;3;#5;b7,x,x,G#,D,F#,A#
Bb7(#5);5,1,x,2,3,4,x,1;3;#5;b7,A#,x,G#,D,F#,x
Bb7(#9);1,x,1,0,2,4,3,1;3;5;b7;#9,x,A#,D,G#,C#,F
Bb7(#9);2,2,1,3,3,3,x,1;3;5;b7;#9,A#,D,G#,C#,F,x
Bb7(#9);3,1,3,1,2,1,4,1;3;5;b7;#9,A#,F,G#,D,F,C#
Bb7(b9);1,x,1,0,2,x,3,1;3;5;b7;b9,x,A#,D,G#,x,F
Bb7(b9);2,3,2,4,1,x,x,1;3;5;b7;b9,A#,D,G#,B,x,x
Bb7(b9);3,1,x,1,2,1,3,1;3;5;b7;b9,A#,x,G#,D,F,B
Bb7(b9);4,x,2,3,1,4,x,1;3;5;b7;b9,x,D,G#,B,F,x
Bb7b5;1,x,1,2,1,3,x,1;3;b5;b7,x,A#,E,G#,D,x
Bb7b5;2,x,x,2,4,1,3,1;3;b5;b7,x,x,G#,D,E,A#
Bb7b5;3,x,x,1,2,3,4,1;3;b5;b7,x,x,A#,E,G#,D
Bb7sus4;1,x,1,3,1,4,1,1;4;5;b7,x,A#,F,G#,D,F
Bb7sus4;2,1,3,1,4,1,1,1;4;5;b7,A#,F,G#,D,F,A#
Bb7sus4;3,x,x,1,3,2,4,1;4;5;b7,x,x,A#,F,G#,D
Bb7sus4;4,x,1,1,1,2,x,1;4;5;b7,x,F,A#,D,G#,x
Bb7sus4;5,1,x,2,4,x,x,1;4;5;b7,A#,x,G#,D,x,x
Bb9(#11);1,x,1,2,1,1,x,1;3;5;b7;9;#11,x,D,G#,C,E,x
Bb9(#11);2,2,x,3,4,1,x,1;3;5;b7;9;#11,A#,x,G#,D,E,x
Bb9(#11);3,0,x,0,1,1,1,1;3;5;b7;9;#11,E,x,D,G#,C,F
Bb9b5;1,0,1,0,2,3,0,1;3;b5;b7;9,E,A#,D,G#,C,E
Bb9b5;2,2,1,3,1,1,4,1;3;b5;b7;9,A#,D,G#,C,E,A#
Bb9b5;3,x,x,1,2,3,1,1;3;b5;b7;9,x,x,A#,E,G#,C
Bbaug;1,x,3,2,1,1,x,1;3;#5,x,D,F#,A#,D,x
Bbaug;2,4,3,2,1,x,x,1;3;#5,A#,D,F#,A#,x,x
Bbaug;3,x,x,4,2,3,1,1;3;#5,x,x,D,F#,A#,D
Bbdim;1,x,1,2,4,3,x,1;b3;b5,x,A#,E,A#,C#,x
Bbdim;2,x,x,4,3,1,2,1;b3;b5,x,x,A#,C#,E,A#
Bbdim;3,1,2,3,1,x,x,1;b3;b5,A#,E,A#,C#,x,x
Bbdim;4,x,x,x,2,1,3,1;b3;b5,x,x,x,C#,E,A#
Bbdim7;1,2,4,1,3,x,x,1;b3;b5;bb7,G,C#,E,A#,x,x
Bbdim7;2,x,2,3,1,4,x,1;b3;b5;bb7,x,C#,G,A#,E,x
Bbdim7;3,x,x,1,3,2,4,1;b3;b5;bb7,x,x,A#,E,G,C#
Bbdim7;4,x,2,3,1,4,x,1;b3;b5;bb7,x,A#,E,G,C#,x
Bbdim7;5,3,x,1,4,2,x,1;b3;b5;bb7,A#,x,G,C#,E,x
Bbm;1,x,1,3,4,2,1,1;b3;5,x,A#,F,A#,C#,F
Bbm;2,1,3,4,1,1,1,1;b3;5,A#,F,A#,C#,F,A#
Bbm;3,x,x,1,3,4,2,1;b3;5,x,x,A#,F,A#,C#
Bbm;4,x,x,3,4,2,1,1;b3;5,x,x,F,A#,C#,F
Bbm;5,3,1,x,x,x,x,1;b3;5,A#,C#,x,x,x,x
Bbm;6,x,x,x,3,2,1,1;b3;5,x,x,x,A#,C#,F
Bbm;7,x,x,x,1,1,1,1;b3;5,x,x,x,C#,F,A#
Bbm;8,x,3,4,1,x,x,1;b3;5,x,F,A#,C#,x,x
Bbm(maj7);1,x,1,4,2,3,x,1;b3;5;7,x,A#,F,A,C#,x
Bbm(maj7);2,x,x,2,1,1,1,1;b3;5;7,x,x,A,C#,F,A#
Bbm(maj7);3,1,x,4,2,3,x,1;b3;5;7,A#,x,A,C#,F,x
Bbm(maj7);4,1,3,2,1,1,1,1;b3;5;7,A#,F,A,C#,F,A#
Bbm11;1,x,x,2,3,1,x,1;b3;5;b7;9;11,x,x,G#,C#,D,x
Bbm11;2,x,1,1,1,2,1,1;b3;5;b7;9;11,x,A#,D,G#,C#,F
Bbm11;3,x,1,1,1,2,x,1;b3;5;b7;9;11,x,A#,D,G#,C#,x
Bbm11;4,2,x,3,4,1,x,1;b3;5;b7;9;11,A#,x,G#,C#,D,x
Bbm6;1,x,1,3,0,2,4,1;b3;5;6,x,A#,F,G,C#,G
Bbm6;2,1,x,3,1,4,1,1;b3;5;6,A#,x,A#,C#,G,A#
Bbm6;3,x,x,1,3,1,2,1;b3;5;6,x,x,A#,F,G,C#
Bbm6;4,2,x,1,3,3,3,1;b3;5;6,A#,x,G,C#,F,A#
Bbm7;1,x,1,3,1,2,1,1;b3;5;b7,x,A#,F,G#,C#,F
Bbm7;2,1,3,1,1,4,1,1;b3;5;b7,A#,F,G#,C#,G#,A#
Bbm7;3,x,x,1,4,2,3,1;b3;5;b7,x,x,A#,F,G#,C#
Bbm7;4,2,x,3,3,3,x,1;b3;5;b7,A#,x,G#,C#,F,x
Bbm7;5,1,3,1,1,1,1,1;b3;5;b7,A#,F,G#,C#,F,A#
Bbm7;6,x,x,x,2,1,1,1;b3;5;b7,x,x,x,F,G#,C#
Bbm7;7,2,x,3,3,3,3,1;b3;5;b7,A#,x,G#,C#,F,A#
Bbm7;8,2,x,3,3,x,x,1;b3;5;b7,A#,x,G#,C#,x,x
Bbm7;9,x,x,2,3,1,4,1;b3;5;b7,x,x,F,A#,C#,G#
Bbm7;10,1,x,1,1,4,x,1;b3;5;b7,A#,x,G#,C#,G#,x
Bbm9;1,3,1,4,2,x,x,1;b3;5;b7;9,A#,C#,G#,C,x,x
Bbm9;2,1,3,1,1,1,4,1;b3;5;b7;9,A#,F,G#,C#,F,C
Bbm9;3,x,2,1,3,4,x,1;b3;5;b7;9,x,A#,C#,G#,C,x
Bbm9;4,x,x,2,4,1,3,1;b3;5;b7;9,x,x,F,C,C#,G#
Bbm9;5,1,x,1,1,1,4,1;b3;5;b7;9,A#,x,G#,C#,F,C
Bbmaj;1,x,1,3,3,3,x,1;3;5,x,A#,F,A#,D,x
Bbmaj;2,1,3,4,2,1,1,1;3;5,A#,F,A#,D,F,A#
Bbmaj;3,x,4,3,1,2,1,1;3;5,x,A#,D,F,A#,D
Bbmaj;4,4,3,1,1,1,x,1;3;5,A#,D,F,A#,D,x
Bbmaj;5,2,1,x,x,x,x,1;3;5,A#,D,x,x,x,x
Bbmaj;6,x,x,x,x,1,4,1;3;5,x,x,x,x,D,A#
Bbmaj;7,x,x,x,x,1,1,1;3;5,x,x,x,x,F,A#
Bbmaj;8,x,1,4,x,x,x,1;3;5,x,D,A#,x,x,x
Bbmaj;9,x,1,3,3,3,1,1;3;5,x,A#,F,A#,D,F
Bbmaj;10,x,x,0,3,4,1,1;3;5,x,x,D,A#,D,F
Bbmaj;11,x,x,3,2,1,1,1;3;5,x,x,A#,D,F,A#
Bbmaj;12,x,3,x,2,1,1,1;3;5,x,F,x,D,F,A#
Bbmaj;13,x,3,4,2,1,1,1;3;5,x,F,A#,D,F,A#
Bbmaj;14,x,x,1,1,1,x,1;3;5,x,x,F,A#,D,x
Bbmaj;15,x,3,1,1,1,x,1;3;5,x,D,F,A#,D,x
Bbmaj;16,x,x,1,1,1,4,1;3;5,x,x,F,A#,D,A#
Bbmaj;17,x,x,2,1,x,x,1;3;5,x,x,A#,D,x,x
Bbmaj13;1,2,1,1,1,3,1,1;3;5;7;9;11;13,A#,D,G,C,F,A
Bbmaj13;2,3,x,4,2,1,1,1;3;5;7;9;11;13,A#,x,A,C,D,G
Bbmaj7;1,x,1,3,2,4,1,1;3;5;7,x,A#,F,A,D,F
Bbmaj7;2,1,4,2,3,1,x,1;3;5;7,A#,F,A,D,F,x
Bbmaj7;3,x,4,3,1,1,1,1;3;5;7,x,A#,D,F,A,D
Bbmaj7;4,x,x,1,3,3,3,1;3;5;7,x,x,A#,F,A,D
Bbmaj7;5,x,1,3,2,4,x,1;3;5;7,x,A#,F,A,D,x
Bbmaj7;6,1,x,3,4,x,x,1;3;5;7,A#,x,A,D,x,x
Bbmaj7;7,1,x,3,4,2,x,1;3;5;7,A#,x,A,D,F,x
Bbmaj7;8,x,x,4,3,2,1,1;3;5;7,x,x,A#,D,F,A
Bbmaj7;9,x,x,1,1,1,4,1;3;5;7,x,x,F,A#,D,A
Bbmaj7;10,x,2,4,1,3,x,1;3;5;7,x,D,A,A#,F,x
Bbmaj7;11,1,1,3,2,4,1,1;3;5;7,F,A#,F,A,D,F
